Item Number,Product Description,Vendor Product Number,Funding per Unit,Promotional Case Cost,Promtional Retail Price,Start Date,End Date,ID
110772431,BOWMORE ISLAY SINGLE MALT SCOTCH WHISKY AGED 12 YEARS 700ML (ABV 40%),,6.33,,28,23/12/2021,01/01/2022,Agreement.Promotion.4445235
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.14,,18,23/12/2021,01/01/2022,Agreement.Promotion.4445370
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,2.31,,16.99,27/12/2021,01/01/2022,Agreement.Promotion.4508625
112250864,AUCHENTOSHAN 12 YEARS OLD 70CL (ABV 40%),,,,25,23/12/2021,01/01/2022,Agreement.Promotion.4528180
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20.5,02/01/2022,25/01/2022,Agreement.Promotion.4492064
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,,,19.5,02/01/2022,25/01/2022,Agreement.Promotion.4492294
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20.5,02/01/2022,25/01/2022,Agreement.Promotion.4525432
106900613,THE ARDMORE SINGLE MALT 40% 70CL,,5.14,,20,02/01/2022,25/01/2022,Agreement.Promotion.4525610
101538336,FAMOUS GROUSE WHISKY 35CL 40%,,0.38,,8.5,02/01/2022,25/01/2022,Agreement.Promotion.4525641
101575364,THE FAMOUS GROUSE SMOKY BLACK 40% 70CL,,2.27,,14,02/01/2022,25/01/2022,Agreement.Promotion.4525667
111765971,HIGHLAND PARK 10 YEAR OLD VIKING SCARS 70CL (ABV 40%),,4.11,,25,02/01/2022,25/01/2022,Agreement.Promotion.4525691
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.91,,13,02/01/2022,25/01/2022,Agreement.Promotion.4525702
106861626,LAPHROAIG SELECT WHISKY 40% 70CL,,3.72,,25,02/01/2022,25/01/2022,Agreement.Promotion.4525719
101527670,SOURZ APPLE 70CL 15%,,1.58,,8,02/01/2022,25/01/2022,Agreement.Promotion.4525743
108599131,SOURZ CHERRY 15% 70CL,,1.58,,8,02/01/2022,25/01/2022,Agreement.Promotion.4525743
110771922,SOURZ PASSION FRUIT 70CL (ABV 15%),,1.58,,8,02/01/2022,25/01/2022,Agreement.Promotion.4525743
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,2.81,,13,02/01/2022,25/01/2022,Agreement.Promotion.4525773
101525578,FAMOUS GROUSE WHISKY 70CL 40%,,1.85,,14,02/01/2022,25/01/2022,Agreement.Promotion.4525786
112250864,AUCHENTOSHAN 12 YEARS OLD 70CL (ABV 40%),,,,25,02/01/2022,25/01/2022,Agreement.Promotion.4528242
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,,,19.5,02/01/2022,25/01/2022,Agreement.Promotion.4542418
103994511,JIM BEAM KENTUCKY STRAIGHT BOURBON WHISKEY 1L,,,,20,02/01/2022,25/01/2022,Agreement.Promotion.4542442
111882667,JIM BEAM RED STAG 70CL (ABV 32.5%),,2.58,,13,02/01/2022,25/01/2022,Agreement.Promotion.4542791
101538230,THE FAMOUS GROUSE BLENDED SCOTCH WHISKY 1L (ABV 40%),,,,20.5,26/01/2022,15/02/2022,Agreement.Promotion.4705245
106758451,AUCHENTOSHAN AMERICAN OAK SINGLE MALT WHISKY 40% 70CL,,4.77,,22,26/01/2022,15/02/2022,Agreement.Promotion.4713512
101534933,COURVOISIER VS COGNAC 35CL 40%,,0.77,,14,26/01/2022,15/02/2022,Agreement.Promotion.4726244
