,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
173,CL002,ASD01,PR,E,,,Volume Agreement,7000125127,2020-09-30,1000053466,50279605.0,2020-09-10,2020-09-30,136246.0,1.44,196194.24000000002,0.0,196194.24000000002,,,Automatic
174,CL002,ASD01,PR,E,,,Volume Agreement,7000125202,2020-09-30,1000056017,5949275.0,2020-09-10,2020-09-30,21687.0,0.3,6506.1,0.2,7807.32,,,Automatic
175,CL002,ASD01,PR,E,,,Volume Agreement,7000125202,2020-09-30,1000056017,5949268.0,2020-09-10,2020-09-30,112385.0,0.3,33715.5,0.2,40458.6,,,Automatic
176,CL002,ASD01,FX,,,,Fixed Agreement,7000125216,2021-09-13,1000130833,,2021-09-02,2021-09-02,,,10080.00,0.2,12096.0,,Promotional Funding,Automatic
177,CL002,ASD01,MS,,,,,7000125355,2021-09-22,,,2021-09-22,2021-09-22,,,57.37,0.0,57.37,, Look on image,Automatic
178,CL002,ASD01,MS,,,,,7000125356,2021-09-22,,,2021-09-22,2021-09-22,,,699.60,0.2,839.52,, Look on image,Automatic
179,CL002,ASD01,FX,,,,Fixed Agreement,7000125424,2020-10-16,1000062186,,2020-10-01,2020-10-07,,,10031.40,0.2,12037.679999999998,,Promotional Funding,Automatic
180,CL002,ASD01,PR,E,,,Volume Agreement,7000125731,2021-09-15,1000128655,50918744.0,2021-09-09,2021-09-13,5713.0,0.62,3542.06,0.0,3542.06,,,Automatic
181,CL002,ASD01,PR,E,,,Volume Agreement,7000125731,2021-09-15,1000128655,50918745.0,2021-09-09,2021-09-13,5482.0,0.62,3398.8399999999997,0.0,3398.8399999999997,,,Automatic
182,CL002,ASD01,FX,,,,Fixed Agreement,7000125796,2021-09-23,1000132431,,2021-09-09,2021-09-09,,,13000.00,0.2,15600.0,,Promotional Funding,Automatic
183,CL002,ASD01,PR,E,,,Volume Agreement,7000125841,2021-09-24,1000125221,3937717.0,2021-09-02,2021-09-22,15105.0,0.41,6193.05,0.0,6193.05,,,Automatic
184,CL002,ASD01,PR,E,,,Volume Agreement,7000125841,2021-09-24,1000125221,3944535.0,2021-09-02,2021-09-22,24.0,0.41,9.84,0.0,9.84,,,Automatic
185,CL002,ASD01,MS,,,,,7000125993,2022-09-06,,,2022-09-06,2022-09-06,,,96.14,0.2,115.368,, Look on image,Automatic
186,CL002,ASD01,PR,E,,,Volume Agreement,7000126062,2021-09-24,1000121609,3924298.0,2021-09-02,2021-09-22,70073.0,0.57,39941.61,0.0,39941.61,,,Automatic
187,CL002,ASD01,PR,E,,,Volume Agreement,7000126062,2021-09-24,1000121609,50405567.0,2021-09-02,2021-09-22,8.0,0.57,4.56,0.0,4.56,,,Automatic
188,CL002,ASD01,FX,,,,Fixed Agreement,7000126159,2021-09-28,1000131507,,2021-09-28,2021-09-28,,,565.73,0.2,678.876,,ASDA Media Partnership Income,Automatic
189,CL002,ASD01,PR,E,,,Volume Agreement,7000126163,2019-08-30,1000002822,5930410.0,2019-08-01,2019-08-28,72195.0,0.28,20214.600000000002,0.0,20214.600000000002,,,Automatic
190,CL002,ASD01,PR,E,,,Volume Agreement,7000126163,2019-08-30,1000002822,50273649.0,2019-08-01,2019-08-28,64.0,0.28,17.92,0.0,17.92,,,Automatic
191,CL002,ASD01,PR,E,,,Volume Agreement,7000126169,2019-08-30,1000004581,50714040.0,2019-08-01,2019-08-28,39240.0,0.28,10987.200000000003,0.2,13184.640000000003,,,Automatic
192,CL002,ASD01,PR,E,,,Volume Agreement,7000126178,2019-08-30,1000007120,3913448.0,2019-08-08,2019-08-28,32708.0,0.38,12429.04,0.0,12429.04,,,Automatic
193,CL002,ASD01,PR,E,,,Volume Agreement,7000126178,2019-08-30,1000007120,3927714.0,2019-08-08,2019-08-28,31700.13,0.38,12046.05,0.0,12046.05,,,Automatic
194,CL002,ASD01,PR,E,,,Volume Agreement,7000126178,2019-08-30,1000007120,3948035.0,2019-08-08,2019-08-28,30172.0,0.38,11465.36,0.0,11465.36,,,Automatic
195,CL002,ASD01,MS,,,,,7000140198,2019-09-30,,,2019-09-30,2019-09-30,,,29433.00,0.2,35319.6,, Look on image,Automatic
196,CL002,ASD01,FX,,,,Fixed Agreement,7000140284,2020-10-29,1000067708,,2020-10-01,2020-10-01,,,4462.50,0.2,5355.0,,ASDA Media Partnership Income,Automatic
197,CL002,ASD01,FX,,,,Fixed Agreement,7000140319,2020-10-29,1000068652,,2020-10-01,2020-10-01,,,585.40,0.2,702.4799999999999,,ASDA Media Partnership Income,Automatic
198,CL002,ASD01,PR,E,,,Volume Agreement,7000140380,2019-09-30,1000008131,5929038.0,2019-09-01,2019-09-30,31812.09554586155,0.2,6362.41910917231,0.0,6362.41910917231,,,Automatic
199,CL002,ASD01,PR,E,,,Volume Agreement,7000140380,2019-09-30,1000008131,5944655.0,2019-09-01,2019-09-30,14145.487142693144,0.2,2829.0974285386287,0.0,2829.0974285386287,,,Automatic
200,CL002,ASD01,PR,E,,,Volume Agreement,7000140380,2019-09-30,1000008131,5947266.0,2019-09-01,2019-09-30,27513.9475261164,0.2,5502.789505223281,0.0,5502.789505223281,,,Automatic
201,CL002,ASD01,PR,E,,,Volume Agreement,7000140380,2019-09-30,1000008131,5947259.0,2019-09-01,2019-09-30,13641.469785328893,0.2,2728.293957065778,0.0,2728.293957065778,,,Automatic
202,CL002,ASD01,PR,E,,,Volume Agreement,7000140410,2020-10-31,1000040099,50617151.0,2020-10-01,2020-10-31,11463.0,0.25,2815.4700000000003,0.2,3378.5640000000003,,,Automatic
203,CL002,ASD01,PR,E,,,Volume Agreement,7000140410,2020-10-31,1000040099,50617148.0,2020-10-01,2020-10-31,6447.0,0.25,1587.3300000000004,0.2,1904.7960000000003,,,Automatic
204,CL002,ASD01,MS,,,,,7000140519,2022-10-06,,,2022-10-06,2022-10-06,,,78.66,0.2,94.392,, Look on image,Automatic
205,CL002,ASD01,FX,,,,Fixed Agreement,7000140520,2020-10-29,1000065842,,2020-10-01,2020-10-01,,,554.88,0.2,665.856,,ASDA Media Partnership Income,Automatic
206,CL002,ASD01,FX,,,,Fixed Agreement,7000140634,2020-10-29,1000066935,,2020-10-01,2020-10-01,,,204.46,0.2,245.352,,ASDA Media Partnership Income,Automatic
207,CL002,ASD01,PR,E,,,Volume Agreement,7000140635,2022-10-07,1000200196,50953009.0,2022-10-01,2022-10-05,10586.0,0.23,2434.7799999999997,0.2,2921.7359999999994,,,Automatic
208,CL002,ASD01,PR,E,,,Volume Agreement,7000140635,2022-10-07,1000200196,51086623.0,2022-10-01,2022-10-05,12132.0,0.23,2790.3599999999997,0.2,3348.4319999999993,,,Automatic
209,CL002,ASD01,PR,E,,,Volume Agreement,7000140635,2022-10-07,1000200196,51086624.0,2022-10-01,2022-10-05,29565.0,0.23,6799.95,0.2,8159.94,,,Automatic
210,CL002,ASD01,PR,E,,,Volume Agreement,7000140636,2022-10-07,1000200495,51142210.0,2022-10-01,2022-10-05,4377.0,0.14,612.7800000000001,0.0,612.7800000000001,,,Automatic
211,CL002,ASD01,PR,E,,,Volume Agreement,7000140636,2022-10-07,1000200495,5930410.0,2022-10-01,2022-10-05,5849.0,0.14,818.8600000000001,0.0,818.8600000000001,,,Automatic
212,CL002,ASD01,PR,E,,,Volume Agreement,7000140636,2022-10-07,1000200495,5930487.0,2022-10-01,2022-10-05,9152.0,0.14,1281.28,0.0,1281.28,,,Automatic
213,CL002,ASD01,PR,E,,,Volume Agreement,7000140636,2022-10-07,1000200495,5930508.0,2022-10-01,2022-10-05,13924.0,0.14,1949.3600000000001,0.0,1949.3600000000001,,,Automatic
